category;keywords;answer
направления;институты,факультеты,специальности,обучение,куда поступить;В КГУ 10 институтов и факультетов. Полный список направлений и профилей обучения доступен на сайте КГУ. [Подробнее о направлениях](https://www.kursksu.ru/applicant/programms/)
прием;сроки,подача документов,когда,документы,поступление;Прием документов в КГУ начинается 20 июня 2024 года. Подробная информация о сроках и правилах приема доступна на сайте приемной комиссии. [Подробнее о приеме](https://www.kursksu.ru/pages/entrance2024_info)
документы;документы,необходимые документы,перечень,какие,поступление;Список необходимых документов для поступления в КГУ можно найти на сайте приемной комиссии. [Подробнее о документах](https://www.kursksu.ru/pages/entrance2024_info)
баллы;проходные баллы,минимальные баллы,ЕГЭ,сколько баллов,поступление;Информация о проходных баллах прошлых лет доступна на сайте приемной комиссии. [Подробнее о баллах](https://www.kursksu.ru/pages/entrance2024_info)
общежитие;общежитие,проживание,заселение,иногородние,студенты;КГУ предоставляет общежитие иногородним студентам. [Подробнее об общежитии](https://kursksu.ru/pages/dormitories)
курсы;подготовительные курсы,курсы ЕГЭ,подготовка к ЕГЭ;КГУ проводит подготовительные курсы к ЕГЭ. [Подробнее о курсах](https://www.kursksu.ru/pages/preliminary_courses)
проекты;проекты,конкурсы,олимпиады,мероприятия;Информация о проектах, конкурсах и олимпиадах КГУ доступна на сайте. [Подробнее о проектах](https://www.kursksu.ru/pages/projects_for_schoolchildren)
тестирование;профориентационное тестирование,тестирование,профориентация;КГУ проводит профориентационное тестирование. [Подробнее о тестировании](https://www.kursksu.ru/pages/professional_orientations_info)
направления;философия,философский факультет;На факультете философии и социологии есть направление "Философия". [Подробнее о факультете](https://www.kursksu.ru/faculties/philosophy-and-sociology/)
направления;IT,программист,информационные технологии,профессия,связанная с IT;Да, на факультете физики, математики, информатики есть направления, связанные с IT: "Прикладная математика и информатика", "Информатика и вычислительная техника", "Информационная безопасность". [Подробнее о факультете](https://www.kursksu.ru/faculties/physics-mathematics-informatics/)
направления;учитель начальных классов,начальные классы,педагогика,психология;Вам подойдет направление "Психолого-педагогическое образование" с профилем "Начальное образование" на факультете педагогики и психологии. [Подробнее о факультете](https://www.kursksu.ru/faculties/pedagogy-and-psychology/)
направления;международные отношения,исторический факультет;Да, на историческом факультете есть направление "Международные отношения". [Подробнее о факультете](https://www.kursksu.ru/faculties/history/)
прием;поступление после колледжа,колледж,СПО,база СПО;Информация о поступлении на базе СПО представлена на странице приемной комиссии. [Подробнее о поступлении](https://www.kursksu.ru/pages/entrance2024_info)
направления;экономика,экономист,финансы,банковское дело;В Институте экономики и управления есть направление "Экономика" с несколькими профилями. [Подробнее о направлении](https://www.kursksu.ru/faculties/economy-and-management/)
направления;туризм,туристская деятельность,гостиничное дело;На естественно-географическом факультете есть направления "Туризм" и "Гостиничное дело". [Подробнее о направлениях](https://www.kursksu.ru/faculties/natural-sciences/)
направления;дизайн,художник,графический дизайн;На художественно-графическом факультете есть направление "Дизайн" с разными профилями, а также специалитет "Живопись". [Подробнее о направлениях](https://www.kursksu.ru/faculties/art-and-graphic-design/)
направления;филология,журналистика,реклама;На филологическом факультете есть направления "Филология", "Журналистика" и "Реклама и связи с общественностью". [Подробнее о направлениях](https://www.kursksu.ru/faculties/philology/)
направления;психология,педагогика,дефектология;На факультете педагогики и психологии есть направления "Психология" и "Психолого-педагогическое образование", а на дефектологическом факультете - "Специальное (дефектологическое) образование". [Подробнее о направлениях](https://www.kursksu.ru/faculties/pedagogy-and-psychology/)
